method	representation	nodes	density	average_time_sec
BFS	matrix	20	15	0.01162716361010098
BFS	list	20	15	0.011511338549898937
DFS	matrix	20	15	0.012142878169834148
DFS	list	20	15	0.013158320449947495
BFS	matrix	20	35	0.01303342387003795
BFS	list	20	35	0.01297538238002744
DFS	matrix	20	35	0.012943018290134205
DFS	list	20	35	0.012567813019995811
BFS	matrix	20	55	0.013161567840070347
BFS	list	20	55	0.01272715972001606
DFS	matrix	20	55	0.012697947780325194
DFS	list	20	55	0.013346949469887476
BFS	matrix	20	75	0.0135325586399631
BFS	list	20	75	0.01318391681990761
DFS	matrix	20	75	0.012597806289995787
DFS	list	20	75	0.013252793919709802
BFS	matrix	20	95	0.012789192849959363
BFS	list	20	95	0.012614581429952523
DFS	matrix	20	95	0.013076047030153859
DFS	list	20	95	0.013577556230011396
BFS	matrix	50	15	0.01465490388985927
BFS	list	50	15	0.013211930499819573
DFS	matrix	50	15	0.015506247760058614
DFS	list	50	15	0.013463174199823697
BFS	matrix	50	35	0.014641663480324496
BFS	list	50	35	0.013462575710145757
DFS	matrix	50	35	0.014779300930167666
DFS	list	50	35	0.01405955603986513
BFS	matrix	50	55	0.014474834910106437
BFS	list	50	55	0.014226886809810822
DFS	matrix	50	55	0.014760857850196771
DFS	list	50	55	0.01432285884016892
BFS	matrix	50	75	0.01597143503000552
BFS	list	50	75	0.014503369050144101
DFS	matrix	50	75	0.014838541350145533
DFS	list	50	75	0.014793442209920613
BFS	matrix	50	95	0.014907348019914935
BFS	list	50	95	0.014687135080166627
DFS	matrix	50	95	0.014946859509800561
DFS	list	50	95	0.01473408246991312
BFS	matrix	80	15	0.020565754109993575
BFS	list	80	15	0.015521871019955143
DFS	matrix	80	15	0.020730648490061867
DFS	list	80	15	0.016344130360084818
BFS	matrix	80	35	0.021307161950062437
BFS	list	80	35	0.016804942480048338
DFS	matrix	80	35	0.021172635499860915
DFS	list	80	35	0.016895910710118187
BFS	matrix	80	55	0.02177475250991847
BFS	list	80	55	0.017459735519987588
DFS	matrix	80	55	0.022290267330099596
DFS	list	80	55	0.01739128455013997
BFS	matrix	80	75	0.02227136020010221
BFS	list	80	75	0.018803786380049134
DFS	matrix	80	75	0.023487157019953884
DFS	list	80	75	0.021661008629926072
BFS	matrix	80	95	0.02103335986015736
BFS	list	80	95	0.01925737931011099
DFS	matrix	80	95	0.02200076180015458
DFS	list	80	95	0.01972709060020861
BFS	matrix	110	15	0.031195940510515358
BFS	list	110	15	0.018809033010074926
DFS	matrix	110	15	0.03223483554982522
DFS	list	110	15	0.019796454929964968
BFS	matrix	110	35	0.03373180879993015
BFS	list	110	35	0.02183018667023134
DFS	matrix	110	35	0.03478714644996216
DFS	list	110	35	0.023569700029547676
BFS	matrix	110	55	0.033856310490118634
BFS	list	110	55	0.02297567306977726
DFS	matrix	110	55	0.03597258480018354
DFS	list	110	55	0.024999691659868404
BFS	matrix	110	75	0.034095624629881055
BFS	list	110	75	0.026570494760162548
DFS	matrix	110	75	0.03593570281987923
DFS	list	110	75	0.0274147413998071
BFS	matrix	110	95	0.0339609109498997
BFS	list	110	95	0.02823013097011426
DFS	matrix	110	95	0.034754202679978335
DFS	list	110	95	0.02992855496984703
BFS	matrix	140	15	0.046509883350008746
BFS	list	140	15	0.022652131899958475
DFS	matrix	140	15	0.04928793805989699
DFS	list	140	15	0.0254128132101323
BFS	matrix	140	35	0.05156372738998471
BFS	list	140	35	0.026853328999968652
DFS	matrix	140	35	0.054367343690173583
DFS	list	140	35	0.028840577749833757
BFS	matrix	140	55	0.05269499788995745
BFS	list	140	55	0.031986681720300114
DFS	matrix	140	55	0.05691240964995813
DFS	list	140	55	0.03466573075020278
BFS	matrix	140	75	0.051974424329819156
BFS	list	140	75	0.03734954599021876
DFS	matrix	140	75	0.05734051071998692
DFS	list	140	75	0.039176771020211165
BFS	matrix	140	95	0.051142597940197446
BFS	list	140	95	0.04058755487989402
DFS	matrix	140	95	0.05282567055019172
DFS	list	140	95	0.041918809259950646
BFS	matrix	170	15	0.06777653140019538
BFS	list	170	15	0.02629704824019427
DFS	matrix	170	15	0.07232246897012373
DFS	list	170	15	0.03138605289012048
BFS	matrix	170	35	0.0758356876103062
BFS	list	170	35	0.037192208030282926
DFS	matrix	170	35	0.0791233539197492
DFS	list	170	35	0.03896149341017008
BFS	matrix	170	55	0.07954241967996495
BFS	list	170	55	0.04496400776984956
DFS	matrix	170	55	0.08411444397002925
DFS	list	170	55	0.04653892703998281
BFS	matrix	170	75	0.07905679258001327
BFS	list	170	75	0.05073866396014637
DFS	matrix	170	75	0.08575490399991395
DFS	list	170	75	0.05294507478993182
BFS	matrix	170	95	0.07584967380997114
BFS	list	170	95	0.05582595784962905
DFS	matrix	170	95	0.07879474255001696
DFS	list	170	95	0.058113483020024434
BFS	matrix	200	15	0.10181463607015757
BFS	list	200	15	0.03265036943976156
DFS	matrix	200	15	0.10634873627001071
DFS	list	200	15	0.03606814391023363
BFS	matrix	200	35	0.1219433163298163
BFS	list	200	35	0.048305711870089
DFS	matrix	200	35	0.12444594054002664
DFS	list	200	35	0.052088806279934945
BFS	matrix	200	55	0.1298272479397565
BFS	list	200	55	0.058359463430060717
DFS	matrix	200	55	0.13595370955030375
DFS	list	200	55	0.06444432714975847
BFS	matrix	200	75	0.1185798674997568
BFS	list	200	75	0.06732201227994665
DFS	matrix	200	75	0.12980114498019246
DFS	list	200	75	0.07187970706982014
BFS	matrix	200	95	0.11774747270981606
BFS	list	200	95	0.08428766413002449
DFS	matrix	200	95	0.12504019468993646
DFS	list	200	95	0.0872823463300665
